Elenco delle banche convenzionate ordinate per denominazione
Denominazione	Codice ABI
ALLIANZ BANK FINANCIAL ADVISORS S.P.A.	3589
SUEDTIROL BANK S.P.A. AG	3374
CREDITO COOPERATIVO MEDIOCRATI S.C.	7062
B.C.C  MONTE PRUNO DI FISCIANO, ROSCIGNO E LAURINO	8784
B.C.C. 'G. TONIOLO' E S. MICHELE DI S. CATALDO 	8952
B.C.C. 'LA RISCOSSA' DI REGALBUTO  	8954
B.C.C. ABRUZZESE DI CAPPELLE SUL TAVO 	8434
B.C.C. CASTIGLIONE MESSER RAIMONDO E PIANELLA  	8473
B.C.C. DEI CASTELLI ROMANI E DEL TUSCOLO S.C.  	7092
B.C.C. DEL CIRCEO E PRIVERNATE S.C.	7017
B.C.C. DEL VALDARNO S.C.  	8811
B.C.C. DELL'ALTO TIRRENO DELLA CALABRIA VERBICARO 	8365
B.C.C. DELLA CALABRIA ULTERIORE S.C.  	7091
B.C.C. DELLA PROVINCIA ROMANA S.C. 	8787
B.C.C. DELLA ROMAGNA OCCIDENTALE S.C. 	8462
B.C.C. DELLA VALLE DEL FITALIA - LONGI	8913
B.C.C. DELLE MADONIE	8976
B.C.C. DI ALBA, LANGHE, ROERO E DEL CANAVESE S.C. 	8530
B.C.C. DI ALBEROBELLO, SAMMICHELE E MONOPOLI S.C. 	8338
B.C.C. DI ALTOFONTE E CACCAMO S.C. 	8341
B.C.C. DI BUSTO GAROLFO E BUGUGGIATE S.C.	8404
B.C.C. DI CAPACCIO PAESTUM E SERINO S.C. 	8431
B.C.C. DI CASSANO DELLE MURGE E TOLVE S.C.  	8460
B.C.C. DI NAPOLI S.C.  	7110
B.C.C. DI NETTUNO	8693
B.C.C. DI OSTRA E MORRO D'ALBA S.C.	8704
B.C.C. DI OSTUNI S.C.  	8706
B.C.C. DI PERGOLA E CORINALDO S.C. 	8731
B.C.C. DI PIANFEI E ROCCA DE BALDI S.C.  	8753
B.C.C. DI RIVAROLO MANTOVANO 	8770
B.C.C. DI S.MARZANO DI S.GIUSEPPE  	8817
B.C.C. DI SAN GIOVANNI ROTONDO  	8810
B.C.C. DI SARSINA S.C. 	8850
B.C.C. DI SPELLO E DEL VELINO S.C. 	8871
B.C.C. DI TRIUGGIO E DELLA VALLE DEL LAMBRO S.C.  	8901
B.C.C. GAUDIANO DI LAVELLO S.C. 	8554
B.C.C. PORDENONESE E MONSILE S.C.  	8356
B.C.C. TERRA DI LAVORO-S.VINCENZO DE'PAOLI S.C.P.A	8987
BANCA ADRIA COLLI EUGANEI CREDITO COOPERATIVO S.C.	8982
BANCA AGRICOLA POPOLARE DI SICILIA S.C.P.A.	5036
BANCA ALPI MARITTIME CREDITO COOPERATIVO CARRU'	8450
BANCA ALTA TOSCANA CREDITO COOPERATIVO - S.C.  	8922
BANCA ANNIA-BCC DI VENEZIA PADOVA E ROVIGO  	8452
BANCA CAMBIANO 1884 S.P.A.	8425
BANCA CASSA DI RISPARMIO DI SAVIGLIANO S.P.A.  	6305
BANCA CENTRO EMILIA CREDITO COOPERATIVO S.C.	8509
BANCA CENTRO LAZIO CREDITO COOPERATIVO	8716
BANCA CENTRO-CREDITO COOPERATIVO TOSCANA-UMBRIA	7075
BANCA CENTROPADANA CREDITO COOPERATIVO  S.C.	8324
BANCA CESARE PONTI S.P.A. 	3084
BANCA CREDITO ATTIVO S.P.A.  	3047
BANCA CREMASCA E MANTOVANA - CREDITO COOPERATIVO  	7076
BANCA DEI SIBILLINI C.C. DI CASAVECCHIA S.C.	8456
BANCA DEL FUCINO S.P.A.	3124
MEDIOCREDITO CENTRALE S.P.A.	10680
BANCA DEL PICENO CREDITO COOPERATIVO S.C.	8474
BANCA DEL PIEMONTE S.P.A. 	3048
BANCA DEL TERRITORIO LOMBARDO CREDITO COOPERATIVO 	8735
BVR BANCA VENETO CENTRALE C.C. S.C.	8590
BANCA DELL ALTA MURGIA C.C. S.C.	7056
BANCA DELL'ELBA CREDITO COOPERATIVO S.C. 	7048
BANCA DELLA VALSASSINA CREDITO COOPERATIVO - SOC.C	8515
BANCA VERSILIA LUNIGIANA E GARFAGNANA C.C. S.C.	8726
BANCA DELLE TERRE VENETE CREDITO COOP.VO S.C.  	8399
BANCA DI ANCONA E FALCONARA MARITTIMA - S.C.	8086
BANCA DI ANDRIA DI CREDITO COOPERATIVO	7101
BANCA DI ANGHIARI E STIA CREDITO COOPERATIVO S.C. 	8345
BANCA DI BARI E TARANTO CREDITO COOPERATIVO S.C.  	7012
BANCA DI BOLOGNA CREDITO COOPERATIVO SOC. COOP.	8883
BANCA DI CARAGLIO CUNEESE E RIVIERA DEI FIORI C.C.	8439
BANCA DI CIVIDALE S.P.A.  	5484
BANCA DI CRED. COOP. DEI CASTELLI E DEGLI IBLEI	7078
BANCA DI CRED.COOP. DELLA VALLE DEL TRIGNO  	8189
BANCA DI CREDITO COOP. DI LOCOROTONDO C.R.A. S.C. 	8607
BANCA DI CREDITO COOP. DI PRATOLA PELIGNA	8747
BANCA DI CREDITO COOP. VICENTINO - POJANA MAGGIORE	8732
BANCA DI CREDITO COOP.VO DELL'OGLIO E DEL SERIO S.	8514
BANCA DI CREDITO COOP.VO DI TERRA D'OTRANTO S.C.  	8445
BANCA DI CREDITO COOPERATIVO AGRIGENTINO S.C.  	7108
BANCA DI CREDITO COOPERATIVO AGROBRESCIANO S.C.	8575
BANCA DI CREDITO COOPERATIVO APPULO LUCANA S.C.	8873
BANCA DI CREDITO COOPERATIVO BERGAMASCA E OROBICA 	8940
BANCA DI CREDITO COOPERATIVO BRIANZA E LAGHI  S.C.	8329
BCC DEL GARDA-BCC COLLI MORENICI DEL GARDA S.C.	8676
B.C.C. DEGLI ULIVI - TERRA DI BARI S.C.	8988
